SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-19-2021,Condo/Co-op,26701 Quail #268,Laguna Hills,CA,92656,435000,1,1,S2 - Laguna Hills,824,,1980,,528,438,Sold,,,https://www.redfin.com/CA/Laguna-Hills/26701-Quail-Crk-92656/unit-268/home/5598977,CRMLS,OC21232593,N,Y,33.57359,-117.702799
PAST SALE,June-10-2024,Single Family Residential,32974 Paseo Miraflores,San Juan Capistrano,CA,92675,1220000,3,1.5,Mariner Village (MVL),1467,4221,1975,,832,20,Sold,,,https://www.redfin.com/CA/San-Juan-Capistrano/32974-Paseo-Miraflores-92675/home/4951077,CRMLS,OC24100752,N,Y,33.4842369,-117.6827448
PAST SALE,May-11-2023,Single Family Residential,1331 Ironwood St,La Habra,CA,90631,1020000,4,2,87 - La Habra,2215,6000,1963,,460,,Sold,,,https://www.redfin.com/CA/La-Habra/1331-Ironwood-St-90631/home/4107493,CRMLS,OC23061233,N,Y,33.915097,-117.9425319
PAST SALE,April-18-2022,Single Family Residential,820 Ethelinda Way,Brea,CA,92821,1240000,4,3,86 - Brea,2211,9156,1981,,561,130,Sold,,,https://www.redfin.com/CA/Brea/820-Ethelinda-Way-92821/home/4139284,CRMLS,OC22049651,N,Y,33.9419605,-117.909202
PAST SALE,February-13-2024,Single Family Residential,29 Laurelwood,Irvine,CA,92620,2240000,5,4,NW - Northwood,2835,4409,1997,,790,262,Sold,,,https://www.redfin.com/CA/Irvine/29-Laurelwood-92620/home/4790268,CRMLS,OC24003112,N,Y,33.7245292,-117.7641545
PAST SALE,June-7-2023,Condo/Co-op,482 N Castletown Unit D,Orange,CA,92869,826000,3,2.5,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1683,,1999,,491,300,Sold,,,https://www.redfin.com/CA/Orange/482-N-Castletown-92869/unit-D/home/5799385,CRMLS,OC23073679,N,Y,33.7945533,-117.8189899
PAST SALE,June-20-2023,Townhouse,173 Admiral Way,Costa Mesa,CA,92627,925000,2,2.5,C5 - East Costa Mesa,1722,1897,1981,,537,400,Sold,,,https://www.redfin.com/CA/Costa-Mesa/173-Admiral-Way-92627/home/4637706,CRMLS,OC23046431,N,Y,33.657593,-117.897904
PAST SALE,December-10-2021,Multi-Family (2-4 Unit),326 S Orange Ave,Brea,CA,92821,1165000,5,2.5,86 - Brea,2250,6970,1929,,518,,Sold,,,https://www.redfin.com/CA/Brea/326-S-Orange-Ave-92821/home/4082092,CRMLS,BB21226504,N,Y,33.9150816,-117.8993654
PAST SALE,June-21-2023,Single Family Residential,12291 Haster St,Garden Grove,CA,92840,835000,3,2,"63 - Garden Grove S of Chapman, W of Euclid",1233,7211,1954,,677,,Sold,,,https://www.redfin.com/CA/Garden-Grove/12291-Haster-St-92840/home/3956998,CRMLS,OC23078662,N,Y,33.7845321,-117.9064585
PAST SALE,May-15-2023,Single Family Residential,22875 Gretta St,Lake Forest,CA,92630,875000,2,1,LS - Lake Forest South,945,4802,1973,,926,,Sold,,,https://www.redfin.com/CA/Lake-Forest/22875-Gretta-St-92630/home/4837575,CRMLS,OC23058798,N,Y,33.6300997,-117.7143471
